combined_id,n_publications,n_data_generated,n_data_shared,n_data_linked,data_locations,n_code_generated,n_code_shared,code_locations,nserc_top_award_all,nserc_top_year_all,nserc_top_z_all,n_awards_nserc
amy_ramsey_universityoftoronto,1,1,1,1,"Online,Supplementary Information",0,0,,32000,2018,-0.6951764439301056,2
babak_taati_universityoftoronto,2,2,1,1,"Online,Supplementary Information",2,0,,29000,2020,-0.5221106294983335,2
ahmed_elsohemy_universityoftoronto,1,1,1,0,Supplementary Information,0,0,,27000,2012,-0.5048675180461376,1
paula_foster_universityofwesternontario,1,1,1,0,Supplementary Information,0,0,,75000,2020,2.70883721028237,1
normand_brisson_universitedemontreal,1,1,1,1,"Online,Supplementary Information",1,1,Online,97400,2009,2.2290229357351445,2
zvonimir_poljak_universityofguelph,9,9,6,2,"Online,Supplementary Information; Supplementary Information",7,1,Online,31000,2016,-0.4012380043285527,2
bruce_mazer_mcgilluniversity,1,1,1,0,Supplementary Information,0,0,,30000,2011,-0.6951764439301056,2
lesley_macneil_mcmasteruniversity,1,1,0,0,,0,0,,43000,2016,0.508982456931704,1
jose_teodoro_mcgilluniversity,1,1,1,0,Supplementary Information,0,0,,45000,2009,0.31094359766621027,3
nicole_fenton_universiteduquebecenabitibitemiscamingue,2,2,2,0,Supplementary Information,0,0,,47000,2020,0.4831005072984877,2
philippe_corbeil_universitelaval,1,1,1,0,Supplementary Information,1,0,,32000,2019,-0.4322513072115024,3
sriram_subramaniam_universityofbritishcolumbia,1,1,1,1,"Online,Supplementary Information",1,0,,71000,2024,1.6128899408379054,1
sylvie_belleville_universitedemontreal,1,1,1,1,"Online,Supplementary Information",1,0,,56000,2011,1.15737416207162,3
fahima_nekka_universitedemontreal,1,1,1,1,Online,0,0,,24000,2020,-0.06676057350227399,3
yifeng_li_brockuniversity,1,1,1,1,Online,1,1,Online,34000,2021,0.20994289456653437,1
andreas_hilfinger_universityoftoronto,1,1,1,1,"Online,Supplementary Information",1,1,Online,29000,2019,-0.6366010997845937,1
milica_radisic_universityoftoronto,1,1,0,0,,0,0,,90000,2022,2.9216499713516337,3
yue_wang_simonfraseruniversity,1,1,1,1,"Online,Supplementary Information",0,0,,39000,2023,-0.5957394742824886,3
thierry_duchesne_universitelaval,1,1,1,1,Online,1,1,Online,38000,2024,1.0777502634439053,3
sean_meehan_universityofwaterloo,1,1,1,0,Supplementary Information,0,0,,28000,2020,-0.7721107852912357,1
gregory_fonseca_mcgilluniversity,1,1,1,1,"Online,Supplementary Information",1,0,,28000,2022,-0.9522713292053392,1
liisa_galea_universityofbritishcolumbia,1,1,0,0,,0,0,,103000,2024,3.5673604079948396,4
murray_richardson_carletonuniversity,1,1,1,0,Supplementary Information,1,0,,37000,2024,-0.3989201010902701,3
jeanpierre_perreault_universitedesherbrooke,1,1,1,0,Supplementary Information,1,0,,53000,2012,2.394596890239698,3
marc_starnaud_universitedemontreal,1,1,1,1,Online,1,0,,30000,2014,-0.322666099377384,2
